ip,cpu_usage,memory_usage,network_traffic,execution_time,latency
10.0.127.245,97.91,46.11,550.0,95.0,375.85
10.0.127.246,90.53,12.0,219.0,34.0,37.68
10.0.127.247,74.6,52.46,590.0,32.0,121.5
10.0.127.248,91.65,32.61,311.0,24.0,46.6
10.0.127.249,60.46,14.88,671.0,34.0,85.55
10.0.127.250,96.58,63.27,581.0,11.0,51.3
10.0.127.251,42.38,92.84,109.0,33.0,24.61
10.0.127.252,76.0,39.38,758.0,58.0,252.41
10.0.127.253,31.06,48.11,510.0,98.0,197.45
10.0.127.254,71.89,33.9,556.0,97.0,286.65
10.0.127.255,15.79,47.85,244.0,26.0,20.05
10.0.128.1,46.6,77.83,670.0,35.0,147.36
10.0.128.2,74.7,58.05,173.0,29.0,32.94
10.0.128.3,39.6,72.25,634.0,10.0,34.7
10.0.128.4,22.58,64.14,121.0,47.0,24.79
10.0.128.5,51.06,52.42,703.0,9.0,32.67
10.0.128.6,7.53,66.65,557.0,16.0,33.26
10.0.128.7,60.94,80.9,304.0,52.0,112.96
10.0.128.8,55.58,72.73,5.0,59.0,1.81
10.0.128.9,53.98,14.85,644.0,33.0,73.44
10.0.128.10,36.34,27.67,857.0,77.0,212.42
10.0.128.11,89.23,68.71,165.0,91.0,118.74
10.0.128.12,50.64,51.13,104.0,33.0,17.48
10.0.128.13,65.24,33.69,738.0,35.0,129.62
10.0.128.14,6.65,40.52,88.0,4.0,0.89
10.0.128.15,55.95,39.65,730.0,67.0,233.9
10.0.128.16,25.93,77.4,228.0,93.0,109.17
10.0.128.17,23.55,97.0,590.0,25.0,89.12
10.0.128.18,82.38,71.63,802.0,4.0,26.63
10.0.128.19,96.38,51.58,743.0,47.0,260.23
10.0.128.20,90.98,29.98,289.0,94.0,164.43
10.0.128.21,14.82,47.53,475.0,48.0,71.55
10.0.128.22,84.6,19.07,156.0,28.0,22.6
10.0.128.23,94.24,9.1,755.0,9.0,35.11
10.0.128.24,77.4,86.79,792.0,67.0,435.52
10.0.128.25,90.18,9.63,941.0,87.0,409.94
10.0.128.26,62.53,32.95,966.0,8.0,39.19
10.0.128.27,65.59,34.63,727.0,83.0,301.5
10.0.128.28,42.31,73.01,532.0,87.0,268.17
10.0.128.29,96.33,37.14,634.0,47.0,198.67
10.0.128.30,77.63,64.9,180.0,41.0,53.23
10.0.128.31,72.8,32.22,59.0,57.0,17.71
10.0.128.32,13.12,30.32,712.0,26.0,39.9
10.0.128.33,91.91,91.3,429.0,47.0,186.08
10.0.128.34,72.68,31.35,364.0,65.0,123.18
10.0.128.35,92.35,10.05,368.0,42.0,78.4
10.0.128.36,78.06,47.35,276.0,50.0,86.97
10.0.128.37,23.82,19.29,264.0,48.0,27.06
10.0.128.38,79.52,69.58,753.0,64.0,361.24
10.0.128.39,75.7,48.29,25.0,70.0,11.01
10.0.128.40,60.29,74.85,882.0,57.0,339.82
10.0.128.41,65.46,64.69,139.0,77.0,69.33
10.0.128.42,41.88,26.93,765.0,67.0,176.68
10.0.128.43,50.51,67.19,505.0,44.0,131.99
10.0.128.44,42.65,12.99,223.0,7.0,4.45
10.0.128.45,81.57,44.76,998.0,25.0,158.08
10.0.128.46,46.53,34.17,723.0,21.0,62.76
10.0.128.47,48.13,33.52,997.0,91.0,369.43
10.0.128.48,52.38,16.01,816.0,51.0,142.68
10.0.128.49,97.1,50.34,504.0,28.0,105.56
10.0.128.50,51.09,56.46,135.0,71.0,51.49
10.0.128.51,39.03,51.1,945.0,88.0,376.19
10.0.128.52,36.05,25.46,168.0,93.0,48.17
10.0.128.53,54.56,90.53,392.0,63.0,179.65
10.0.128.54,99.51,57.29,672.0,14.0,74.67
10.0.128.55,99.63,63.6,533.0,8.0,35.36
10.0.128.56,89.3,42.94,148.0,71.0,69.01
10.0.128.57,67.29,8.29,727.0,7.0,19.12
10.0.128.58,77.85,53.74,269.0,51.0,90.04
10.0.128.59,58.6,64.08,946.0,87.0,506.61
10.0.128.60,15.04,40.63,740.0,97.0,199.9
10.0.128.61,81.48,86.75,858.0,95.0,688.57
10.0.128.62,50.61,36.77,840.0,88.0,323.77
10.0.128.63,58.12,12.74,173.0,86.0,52.73
10.0.128.64,30.15,57.48,56.0,84.0,20.37
10.0.128.65,95.13,28.98,316.0,58.0,114.25
10.0.128.66,48.02,21.9,694.0,51.0,124.85
10.0.128.67,52.9,43.45,525.0,61.0,153.62
10.0.128.68,32.99,57.4,457.0,31.0,64.39
10.0.128.69,56.07,14.09,220.0,51.0,39.26
10.0.128.70,86.52,70.25,571.0,20.0,87.92
10.0.128.71,77.18,50.45,797.0,31.0,157.88
10.0.128.72,99.4,81.82,535.0,83.0,401.91
10.0.128.73,81.72,51.17,83.0,98.0,54.17
10.0.128.74,69.82,57.8,818.0,14.0,71.35
10.0.128.75,21.72,35.44,254.0,92.0,66.82
10.0.128.76,73.57,65.48,749.0,16.0,81.62
10.0.128.77,14.21,99.42,683.0,15.0,57.21
10.0.128.78,53.04,50.22,487.0,16.0,39.04
10.0.128.79,24.28,84.91,241.0,86.0,113.34
10.0.128.80,98.4,56.86,686.0,9.0,50.15
10.0.128.81,26.75,73.25,658.0,62.0,205.54
10.0.128.82,53.73,51.09,388.0,17.0,35.45
10.0.128.83,9.27,68.95,8.0,97.0,2.87
10.0.128.84,43.12,37.17,401.0,16.0,25.35
10.0.128.85,29.08,9.91,209.0,99.0,40.36
10.0.128.86,94.56,36.98,935.0,37.0,229.24
10.0.128.87,55.83,82.24,59.0,9.0,3.73
10.0.128.88,21.63,52.49,634.0,66.0,153.97
10.0.128.89,6.59,20.64,181.0,50.0,12.34
10.0.128.90,45.91,62.99,555.0,99.0,299.39
10.0.128.91,62.1,86.24,759.0,87.0,489.59
10.0.128.92,44.76,11.47,813.0,69.0,158.48
10.0.128.93,80.19,34.78,17.0,35.0,3.53
10.0.128.94,58.05,24.5,772.0,24.0,75.77
10.0.128.95,72.96,28.37,206.0,80.0,83.01
10.0.128.96,75.69,85.54,875.0,61.0,426.67
10.0.128.97,21.02,34.2,307.0,1.0,0.84
10.0.128.98,65.64,25.01,891.0,79.0,318.87
10.0.128.99,83.16,81.44,740.0,9.0,57.34
10.0.128.100,18.29,25.77,104.0,43.0,9.79
10.0.128.101,8.21,97.57,309.0,4.0,7.01
10.0.128.102,64.71,94.95,201.0,57.0,91.27
10.0.128.103,28.52,26.35,417.0,23.0,26.79
10.0.128.104,51.1,54.27,607.0,51.0,164.39
10.0.128.105,5.98,47.13,148.0,28.0,11.06
10.0.128.106,12.14,44.97,502.0,83.0,118.92
10.0.128.107,99.92,14.18,135.0,79.0,60.83
10.0.128.108,85.46,62.38,606.0,59.0,265.38
10.0.128.109,51.61,66.88,980.0,41.0,235.29
10.0.128.110,93.54,74.71,557.0,63.0,294.24
10.0.128.111,60.49,17.87,209.0,45.0,36.56
10.0.128.112,41.1,86.32,92.0,93.0,54.54
10.0.128.113,94.35,71.66,398.0,56.0,186.27
10.0.128.114,54.82,58.45,138.0,39.0,30.77
10.0.128.115,19.85,88.27,972.0,34.0,177.38
10.0.128.116,26.54,30.1,326.0,20.0,18.84
10.0.128.117,31.17,76.3,815.0,85.0,372.81
10.0.128.118,72.88,86.88,691.0,30.0,166.69
10.0.128.119,67.17,87.84,62.0,10.0,4.59
10.0.128.120,10.68,91.39,38.0,44.0,8.61
10.0.128.121,96.5,85.5,505.0,59.0,270.31
10.0.128.122,60.27,49.03,949.0,78.0,403.46
10.0.128.123,80.35,62.54,207.0,62.0,92.3
10.0.128.124,76.11,63.78,761.0,52.0,276.86
10.0.128.125,45.08,49.05,495.0,83.0,194.24
10.0.128.126,58.48,76.5,830.0,4.0,21.38
10.0.128.127,86.19,35.19,138.0,3.0,2.48
10.0.128.128,37.03,25.24,519.0,53.0,84.99
10.0.128.129,12.72,19.3,177.0,31.0,8.73
10.0.128.130,16.74,34.52,573.0,9.0,13.07
10.0.128.131,51.73,10.54,27.0,42.0,3.49
10.0.128.132,64.98,64.34,783.0,70.0,352.33
10.0.128.133,79.22,59.96,1000.0,8.0,54.03
10.0.128.134,63.35,82.51,155.0,58.0,65.91
10.0.128.135,26.13,65.72,186.0,29.0,24.92
10.0.128.136,76.64,94.8,564.0,82.0,396.69
10.0.128.137,79.23,93.65,584.0,58.0,293.65
10.0.128.138,36.01,70.18,643.0,17.0,57.26
10.0.128.139,99.51,14.0,148.0,38.0,32.32
10.0.128.140,34.27,76.69,252.0,35.0,48.44
10.0.128.141,87.58,87.71,376.0,14.0,45.55
10.0.128.142,53.33,52.41,101.0,58.0,30.67
10.0.128.143,23.29,91.01,886.0,8.0,41.12
10.0.128.144,98.53,79.41,382.0,73.0,248.96
10.0.128.145,50.94,88.59,677.0,20.0,92.23
10.0.128.146,72.46,68.32,188.0,47.0,61.7
10.0.128.147,80.46,34.05,706.0,61.0,246.91
10.0.128.148,38.87,46.62,520.0,37.0,83.33
10.0.128.149,72.86,93.28,980.0,92.0,750.83
10.0.128.150,8.21,19.57,544.0,25.0,19.24
10.0.128.151,20.05,89.0,645.0,68.0,238.32
10.0.128.152,14.45,28.66,386.0,67.0,55.76
10.0.128.153,44.18,57.66,68.0,31.0,10.62
10.0.128.154,60.72,25.43,725.0,95.0,297.34
10.0.128.155,57.24,71.82,160.0,49.0,50.99
10.0.128.156,17.98,6.28,509.0,6.0,3.8
10.0.128.157,87.4,73.17,193.0,1.0,1.96
10.0.128.158,23.19,53.82,395.0,5.0,7.17
10.0.128.159,36.54,55.5,186.0,59.0,50.62
10.0.128.160,12.05,32.99,847.0,19.0,35.38
10.0.128.161,17.28,12.08,317.0,4.0,1.66
10.0.128.162,78.2,44.13,550.0,39.0,131.99
10.0.128.163,95.27,92.42,730.0,66.0,452.99
10.0.128.164,47.73,30.13,669.0,52.0,134.84
10.0.128.165,36.0,19.01,387.0,0.0,0.1
10.0.128.166,43.23,64.7,825.0,92.0,408.77
10.0.128.167,12.84,67.61,110.0,26.0,11.36
10.0.128.168,97.52,64.04,446.0,89.0,319.54
10.0.128.169,67.71,50.94,509.0,46.0,139.23
10.0.128.170,8.06,77.48,859.0,27.0,97.92
10.0.128.171,62.96,61.75,141.0,80.0,70.57
10.0.128.172,77.23,93.51,808.0,51.0,349.02
10.0.128.173,43.08,33.43,405.0,6.0,9.91
10.0.128.174,55.74,12.88,657.0,38.0,85.96
10.0.128.175,26.75,40.43,792.0,3.0,8.66
10.0.128.176,11.26,65.6,384.0,76.0,111.69
10.0.128.177,92.37,38.57,266.0,26.0,44.66
10.0.128.178,63.67,67.85,161.0,5.0,5.75
10.0.128.179,66.46,70.38,365.0,24.0,58.95
10.0.128.180,46.29,26.96,254.0,80.0,74.53
10.0.128.181,50.36,58.14,820.0,57.0,253.71
10.0.128.182,58.38,66.45,753.0,80.0,376.6
10.0.128.183,77.03,72.03,512.0,96.0,367.77
10.0.128.184,93.54,61.67,29.0,90.0,20.22
10.0.128.185,5.35,52.13,515.0,68.0,101.24
10.0.128.186,99.43,86.94,276.0,40.0,102.83
10.0.128.187,30.47,5.05,306.0,89.0,48.18
10.0.128.188,20.93,64.99,648.0,0.0,0.52
10.0.128.189,82.35,21.77,78.0,9.0,3.64
10.0.128.190,5.44,65.96,16.0,62.0,3.57
10.0.128.191,87.85,5.11,687.0,43.0,138.48
10.0.128.192,74.32,56.81,207.0,18.0,24.58
10.0.128.193,44.31,56.25,777.0,18.0,72.25
10.0.128.194,65.79,96.01,987.0,39.0,307.67
10.0.128.195,83.14,99.42,411.0,52.0,193.85
10.0.128.196,10.07,63.5,87.0,57.0,18.19
10.0.128.197,71.69,99.86,651.0,17.0,96.39
10.0.128.198,58.21,77.97,107.0,93.0,67.47
10.0.128.199,47.71,37.74,180.0,8.0,6.03
10.0.128.200,18.97,35.88,567.0,86.0,133.21
10.0.128.201,86.29,37.84,584.0,12.0,43.29
10.0.128.202,22.48,50.34,821.0,85.0,253.12
10.0.128.203,54.84,67.67,871.0,80.0,425.62
10.0.128.204,22.92,48.49,820.0,28.0,82.56
10.0.128.205,75.33,36.3,853.0,92.0,435.92
10.0.128.206,36.72,7.32,95.0,31.0,6.55
10.0.128.207,48.68,19.03,928.0,36.0,112.13
10.0.128.208,23.7,9.69,502.0,22.0,18.36
10.0.128.209,96.36,81.47,756.0,52.0,349.64
10.0.128.210,69.06,92.48,392.0,64.0,203.56
10.0.128.211,26.48,7.69,632.0,80.0,86.17
10.0.128.212,57.0,94.27,86.0,67.0,43.64
10.0.128.213,82.7,77.99,221.0,30.0,52.98
10.0.128.214,21.72,33.3,202.0,74.0,41.2
10.0.128.215,81.38,44.55,153.0,15.0,14.93
10.0.128.216,46.69,90.98,630.0,1.0,2.76
10.0.128.217,90.56,14.05,142.0,9.0,6.79
10.0.128.218,61.14,10.42,420.0,46.0,69.43
10.0.128.219,54.83,50.35,597.0,25.0,78.54
10.0.128.220,68.15,86.43,547.0,18.0,77.18
10.0.128.221,53.7,71.6,553.0,90.0,312.31
10.0.128.222,80.15,33.33,777.0,16.0,69.11
10.0.128.223,76.36,68.79,792.0,13.0,75.58
10.0.128.224,21.32,66.59,981.0,86.0,368.87
10.0.128.225,57.28,20.64,568.0,95.0,211.18
10.0.128.226,90.48,41.3,457.0,68.0,203.29
10.0.128.227,87.54,10.9,60.0,20.0,5.84
10.0.128.228,32.76,93.44,217.0,24.0,33.26
10.0.128.229,62.34,34.72,974.0,5.0,23.35
10.0.128.230,36.81,16.09,335.0,97.0,86.14
10.0.128.231,96.76,17.54,285.0,93.0,150.82
10.0.128.232,35.69,15.82,446.0,25.0,28.74
10.0.128.233,53.68,70.38,417.0,59.0,152.65
10.0.128.234,26.44,64.96,713.0,47.0,152.18
10.0.128.235,41.2,87.04,912.0,89.0,519.93
10.0.128.236,73.18,14.87,18.0,20.0,1.58
10.0.128.237,54.3,32.89,348.0,39.0,58.74
10.0.128.238,25.0,90.82,219.0,67.0,84.92
10.0.128.239,33.7,51.38,628.0,73.0,195.81
10.0.128.240,98.72,35.28,630.0,94.0,395.79
10.0.128.241,13.1,38.47,356.0,18.0,16.43
10.0.128.242,85.91,48.87,15.0,54.0,5.57
10.0.128.243,97.25,13.18,343.0,65.0,122.59
10.0.128.244,34.18,36.19,806.0,87.0,247.24
10.0.128.245,49.71,38.53,876.0,97.0,373.93
10.0.128.246,98.72,13.08,685.0,35.0,132.76
10.0.128.247,10.31,48.21,986.0,71.0,205.14
10.0.128.248,69.95,65.42,16.0,63.0,6.73
10.0.128.249,24.65,32.41,815.0,71.0,164.7
10.0.128.250,95.28,98.72,31.0,93.0,28.25
10.0.128.251,22.05,44.04,746.0,88.0,216.66
10.0.128.252,6.75,21.69,763.0,47.0,50.54
10.0.128.253,93.18,50.65,591.0,20.0,86.8
10.0.128.254,41.61,69.12,329.0,25.0,44.68
10.0.128.255,14.29,81.83,850.0,51.0,206.47
10.0.129.1,81.07,72.43,290.0,26.0,57.66
10.0.129.2,84.5,39.41,173.0,5.0,5.63
10.0.129.3,57.26,80.18,985.0,2.0,16.47
10.0.129.4,88.72,26.79,523.0,94.0,284.29
10.0.129.5,15.07,93.09,945.0,79.0,404.84
10.0.129.6,36.06,69.42,712.0,88.0,329.31
10.0.129.7,13.0,38.65,109.0,64.0,17.89
10.0.129.8,78.07,97.9,717.0,24.0,151.45
10.0.129.9,31.65,87.24,71.0,66.0,27.7
10.0.129.10,40.0,78.1,26.0,14.0,2.21
10.0.129.11,52.24,69.67,430.0,61.0,159.14
10.0.129.12,55.2,86.2,786.0,82.0,456.32
10.0.129.13,75.52,24.61,178.0,4.0,3.36
10.0.129.14,24.56,85.75,638.0,72.0,252.48
10.0.129.15,14.27,18.56,485.0,6.0,4.49
10.0.129.16,5.64,78.78,486.0,14.0,29.09
10.0.129.17,45.8,63.59,222.0,15.0,18.42
10.0.129.18,48.1,54.4,215.0,78.0,85.73
10.0.129.19,39.74,10.69,420.0,96.0,101.4
10.0.129.20,26.1,90.43,737.0,95.0,406.24
10.0.129.21,6.15,34.47,429.0,76.0,66.09
10.0.129.22,66.52,50.54,302.0,99.0,174.69
10.0.129.23,27.61,67.8,840.0,8.0,31.33
10.0.129.24,11.12,6.28,655.0,88.0,50.25
10.0.129.25,96.95,41.4,21.0,14.0,2.08
10.0.129.26,15.65,84.2,481.0,69.0,166.11
10.0.129.27,85.94,85.22,978.0,51.0,426.28
10.0.129.28,87.15,71.83,377.0,23.0,69.61
10.0.129.29,24.44,19.81,80.0,80.0,14.08
10.0.129.30,6.93,85.82,42.0,58.0,11.15
10.0.129.31,59.7,40.79,818.0,26.0,108.04
10.0.129.32,33.57,60.4,760.0,10.0,35.96
10.0.129.33,24.71,78.19,757.0,31.0,119.89
10.0.129.34,37.24,72.69,906.0,41.0,202.17
10.0.129.35,6.39,22.49,376.0,49.0,26.42
10.0.129.36,22.36,79.86,821.0,76.0,318.63
10.0.129.37,68.26,50.05,929.0,24.0,130.45
10.0.129.38,43.57,86.14,17.0,29.0,3.27
10.0.129.39,35.85,48.45,423.0,10.0,18.61
10.0.129.40,7.7,74.7,116.0,68.0,32.6
10.0.129.41,20.28,97.51,565.0,37.0,123.2
10.0.129.42,85.21,37.36,300.0,17.0,31.91
10.0.129.43,64.21,71.48,686.0,90.0,419.33
10.0.129.44,50.89,88.24,758.0,94.0,493.73
10.0.129.45,94.5,52.83,20.0,69.0,10.19
10.0.129.46,38.53,6.47,17.0,46.0,1.8
10.0.129.47,38.54,27.49,803.0,79.0,209.18
10.0.129.48,71.28,92.03,958.0,17.0,131.49
10.0.129.49,43.51,24.03,542.0,100.0,182.43
10.0.129.50,68.39,52.19,942.0,43.0,241.33
10.0.129.51,18.38,9.56,413.0,20.0,11.37
10.0.129.52,81.99,44.91,676.0,6.0,26.43
10.0.129.53,77.3,77.34,165.0,41.0,52.94
10.0.129.54,27.15,26.65,855.0,60.0,137.33
10.0.129.55,48.01,60.53,563.0,85.0,259.95
10.0.129.56,31.02,69.47,524.0,87.0,229.71
10.0.129.57,90.21,33.29,731.0,42.0,191.25
10.0.129.58,5.49,21.91,38.0,38.0,2.0
10.0.129.59,40.09,57.36,11.0,88.0,4.9
10.0.129.60,96.75,60.65,359.0,59.0,166.82
10.0.129.61,44.13,34.47,159.0,28.0,17.26
10.0.129.62,18.34,85.79,16.0,74.0,6.02
10.0.129.63,29.71,72.17,586.0,77.0,230.19
10.0.129.64,7.41,23.75,364.0,81.0,46.15
10.0.129.65,55.55,66.43,346.0,11.0,23.63
10.0.129.66,47.65,43.17,565.0,4.0,9.07
10.0.129.67,43.32,17.4,954.0,31.0,91.17
10.0.129.68,88.74,7.74,498.0,26.0,61.27
10.0.129.69,79.1,62.6,444.0,78.0,245.39
10.0.129.70,10.06,68.73,556.0,7.0,15.15
10.0.129.71,25.85,51.47,295.0,69.0,79.26
10.0.129.72,19.58,43.43,282.0,27.0,23.81
10.0.129.73,23.18,22.46,61.0,63.0,8.73
10.0.129.74,5.53,93.55,988.0,56.0,274.72
10.0.129.75,75.27,85.87,741.0,73.0,434.52
10.0.129.76,89.79,56.41,325.0,15.0,36.54
10.0.129.77,9.09,50.49,135.0,36.0,14.49
10.0.129.78,69.52,95.76,923.0,4.0,29.34
10.0.129.79,59.38,32.87,227.0,93.0,97.47
10.0.129.80,33.64,15.73,559.0,69.0,94.68
10.0.129.81,59.19,21.95,607.0,85.0,209.93
10.0.129.82,34.63,90.82,224.0,54.0,76.18
10.0.129.83,83.35,86.74,763.0,38.0,243.42
10.0.129.84,61.53,53.51,421.0,84.0,202.65
10.0.129.85,89.79,58.87,36.0,31.0,8.42
10.0.129.86,28.64,52.65,837.0,76.0,258.54
10.0.129.87,89.33,44.87,20.0,6.0,0.84
10.0.129.88,17.3,75.83,918.0,49.0,211.45
10.0.129.89,49.33,49.77,842.0,51.0,212.6
10.0.129.90,34.84,28.93,857.0,31.0,84.94
10.0.129.91,64.79,78.36,24.0,22.0,3.74
10.0.129.92,6.74,96.66,259.0,90.0,120.21
10.0.129.93,85.69,9.3,944.0,43.0,191.63
10.0.129.94,37.56,50.95,537.0,22.0,51.42
10.0.129.95,89.49,22.8,566.0,72.0,228.42
10.0.129.96,98.46,79.03,344.0,54.0,165.32
10.0.129.97,16.15,46.17,521.0,29.0,47.55
10.0.129.98,54.78,37.51,365.0,39.0,64.94
10.0.129.99,88.52,51.87,952.0,83.0,554.35
10.0.129.100,65.43,95.19,862.0,10.0,69.66
10.0.129.101,33.15,21.55,773.0,97.0,205.83
10.0.129.102,80.69,55.44,733.0,26.0,132.2
10.0.129.103,89.44,97.49,210.0,86.0,168.44
10.0.129.104,85.33,17.53,935.0,76.0,363.2
10.0.129.105,50.99,58.83,308.0,34.0,57.46
10.0.129.106,35.86,12.69,15.0,77.0,2.87
10.0.129.107,72.84,65.58,152.0,65.0,68.63
10.0.129.108,30.61,52.91,1.0,38.0,0.24
10.0.129.109,15.66,67.64,667.0,52.0,144.86
10.0.129.110,91.23,68.42,13.0,28.0,3.04
10.0.129.111,53.53,67.25,315.0,62.0,118.24
10.0.129.112,93.45,72.02,250.0,31.0,64.38
10.0.129.113,37.28,46.88,99.0,92.0,38.07
10.0.129.114,43.03,68.96,762.0,21.0,89.06
10.0.129.115,18.97,77.83,877.0,100.0,424.36
10.0.129.116,17.13,62.89,797.0,81.0,258.32
10.0.129.117,7.13,13.27,776.0,73.0,57.56
10.0.129.118,68.79,67.14,764.0,26.0,133.08
10.0.129.119,70.01,62.56,736.0,5.0,25.49
10.0.129.120,31.33,7.04,687.0,98.0,129.68
10.0.129.121,75.42,21.42,501.0,17.0,42.22
10.0.129.122,52.96,57.07,493.0,59.0,161.25
10.0.129.123,43.91,75.97,18.0,17.0,1.88
10.0.129.124,13.09,79.31,965.0,23.0,100.38
10.0.129.125,36.41,51.8,126.0,65.0,35.8
10.0.129.126,5.07,22.09,372.0,45.0,22.87
10.0.129.127,24.05,90.61,545.0,38.0,118.1
10.0.129.128,20.08,23.06,125.0,23.0,6.21
10.0.129.129,77.02,14.43,203.0,38.0,35.66
10.0.129.130,46.74,73.51,510.0,56.0,171.5
10.0.129.131,20.09,96.49,349.0,84.0,169.97
10.0.129.132,71.56,67.39,461.0,96.0,308.62
10.0.129.133,76.29,12.11,129.0,95.0,54.51
10.0.129.134,94.15,27.05,108.0,1.0,0.35
10.0.129.135,50.79,80.16,876.0,57.0,327.26
10.0.129.136,41.47,43.11,506.0,13.0,27.61
10.0.129.137,57.97,14.93,731.0,30.0,81.22
10.0.129.138,16.27,34.63,33.0,19.0,1.58
10.0.129.139,84.82,66.34,218.0,4.0,7.19
10.0.129.140,92.19,45.95,211.0,37.0,53.85
10.0.129.141,40.19,15.98,358.0,59.0,59.38
10.0.129.142,69.25,65.47,71.0,31.0,14.57
10.0.129.143,69.67,62.95,735.0,51.0,246.68
10.0.129.144,20.18,47.49,794.0,30.0,80.57
10.0.129.145,86.82,21.77,405.0,24.0,52.0
10.0.129.146,48.78,32.5,782.0,64.0,204.72
10.0.129.147,70.41,18.69,85.0,52.0,19.5
10.0.129.148,67.34,45.27,736.0,45.0,185.53
10.0.129.149,76.13,60.13,124.0,69.0,58.8
10.0.129.150,26.99,6.86,553.0,84.0,78.97
10.0.129.151,62.97,66.4,366.0,44.0,103.97
10.0.129.152,57.24,71.89,574.0,87.0,322.79
10.0.129.153,55.19,28.02,264.0,44.0,47.81
10.0.129.154,14.31,88.9,286.0,24.0,35.18
10.0.129.155,98.22,35.65,934.0,84.0,527.6
10.0.129.156,98.25,52.07,884.0,77.0,513.84
10.0.129.157,86.83,81.36,939.0,3.0,24.45
10.0.129.158,13.07,27.39,62.0,14.0,1.77
10.0.129.159,73.12,29.02,156.0,99.0,79.11
10.0.129.160,76.35,42.04,463.0,37.0,101.76
10.0.129.161,30.62,32.35,353.0,52.0,58.06
10.0.129.162,23.13,81.41,733.0,47.0,180.07
10.0.129.163,79.28,61.39,621.0,61.0,268.09
10.0.129.164,21.29,85.5,964.0,38.0,194.98
10.0.129.165,41.99,76.4,949.0,17.0,96.58
10.0.129.166,42.35,62.55,955.0,33.0,166.8
10.0.129.167,44.98,61.82,271.0,69.0,99.99
10.0.129.168,22.07,32.51,994.0,61.0,165.12
10.0.129.169,50.58,91.65,779.0,28.0,157.33
10.0.129.170,96.93,74.08,34.0,44.0,12.68
10.0.129.171,84.16,65.54,146.0,45.0,49.08
10.0.129.172,43.8,17.55,886.0,29.0,79.59
10.0.129.173,55.2,48.24,198.0,50.0,51.22
10.0.129.174,86.44,38.75,999.0,27.0,170.36
10.0.129.175,26.68,54.47,571.0,83.0,192.86
10.0.129.176,70.15,16.97,536.0,84.0,195.26
10.0.129.177,81.12,44.96,432.0,9.0,24.09
10.0.129.178,27.1,49.35,764.0,18.0,52.17
10.0.129.179,47.75,90.9,63.0,24.0,10.72
10.0.129.180,34.42,85.96,728.0,56.0,243.22
10.0.129.181,78.73,47.19,564.0,28.0,100.27
10.0.129.182,58.73,89.9,872.0,21.0,133.46
10.0.129.183,37.89,91.99,557.0,46.0,165.68
10.0.129.184,12.34,66.25,761.0,89.0,267.29
10.0.129.185,72.61,42.04,898.0,71.0,365.17
10.0.129.186,12.39,88.48,166.0,83.0,69.65
10.0.129.187,25.59,70.95,937.0,87.0,395.18
10.0.129.188,65.65,82.15,7.0,57.0,2.82
10.0.129.189,48.99,79.14,582.0,52.0,192.62
10.0.129.190,68.39,26.63,806.0,59.0,224.15
10.0.129.191,53.91,43.91,779.0,64.0,244.47
10.0.129.192,29.97,93.82,770.0,85.0,406.72
10.0.129.193,96.51,67.77,750.0,55.0,339.31
10.0.129.194,71.51,69.39,724.0,50.0,253.04
10.0.129.195,68.59,22.74,361.0,78.0,128.36
10.0.129.196,20.32,45.99,956.0,41.0,130.47
10.0.129.197,6.6,54.9,188.0,44.0,25.62
10.0.129.198,21.24,44.12,769.0,31.0,78.4
10.0.129.199,35.16,38.49,444.0,2.0,3.4
10.0.129.200,63.31,53.33,919.0,61.0,329.34
10.0.129.201,68.47,21.14,921.0,66.0,274.4
10.0.129.202,61.99,18.83,368.0,83.0,122.88
10.0.129.203,79.08,49.17,520.0,9.0,28.77
10.0.129.204,69.33,93.1,931.0,85.0,643.59
10.0.129.205,13.66,46.36,948.0,29.0,82.73
10.0.129.206,13.04,58.02,404.0,61.0,86.83
10.0.129.207,69.27,59.5,27.0,34.0,5.84
10.0.129.208,76.47,75.28,260.0,47.0,92.12
10.0.129.209,83.97,69.41,83.0,21.0,13.44
10.0.129.210,97.67,78.7,279.0,51.0,125.76
10.0.129.211,26.29,31.05,115.0,33.0,11.04
10.0.129.212,24.18,19.29,740.0,88.0,141.88
10.0.129.213,76.43,95.44,249.0,84.0,180.77
10.0.129.214,53.63,74.91,71.0,32.0,14.51
10.0.129.215,23.24,68.08,795.0,76.0,275.17
10.0.129.216,18.04,44.36,371.0,50.0,58.15
10.0.129.217,46.29,21.5,763.0,26.0,66.14
10.0.129.218,33.42,51.99,403.0,63.0,108.43
10.0.129.219,65.85,35.07,828.0,54.0,224.04
10.0.129.220,62.28,15.65,170.0,73.0,48.41
10.0.129.221,45.69,73.82,636.0,67.0,255.66
10.0.129.222,90.09,20.53,364.0,89.0,178.09
10.0.129.223,67.21,46.05,697.0,87.0,341.95
10.0.129.224,73.12,19.88,974.0,9.0,41.77
10.0.129.225,63.49,43.53,200.0,6.0,6.05
10.0.129.226,72.54,65.67,136.0,63.0,58.76
10.0.129.227,66.85,56.7,446.0,10.0,28.49
10.0.129.228,45.8,37.26,688.0,69.0,197.76
10.0.129.229,80.53,14.92,931.0,59.0,263.76
10.0.129.230,20.92,28.85,744.0,30.0,56.41
10.0.129.231,7.9,95.23,251.0,70.0,90.22
10.0.129.232,51.6,5.42,654.0,2.0,3.83
